video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=xdyl40Zjorw&pp=ygUSQ2hhcmxvdHRlIHVyYmFuaXNt,/@sustaincharlotte,Sustain Charlotte,Module 1: The Benefits of Complete Streets,25,5 years,Smart Growth America facilitated this interactive workshop about Complete Streets through a partnership with RAO Community ...,15:00.2
/watch?v=eVYd86JJtT8&pp=ygUSQ2hhcmxvdHRlIHVyYmFuaXNt,/@clt_coaa,UNC Charlotte College of Arts + Architecture,ADU  |  The Core Next Door,26,2 years,"A group of UNC Charlotte Architecture students has worked on designing, developing, and prototyping Accessible Dwelling Units ...",15:00.2
/shorts/8MnXBJJy6fo,/@EliMagidsLuxuryHomes,Charlotte NC Luxury and Custom Homes - Eli Magids,Living in Charlotte North Carolina - Why Aren't You Here Yet !,87K,3 years,So living in Charlotte North Carolina is a phenomenal reason to make a move. This video is me taking my morning walk through ...,15:00.3
/watch?v=WWBivTlvnGs&pp=ygUSQ2hhcmxvdHRlIHVyYmFuaXNt,/@ArchitectureFoundation,Architecture Foundation,"Migrant Marseille: Charlotte Malterre-Barthes, Marc Angélil & Something Fantastic",1.2K,5 years,"At 9 AM on November 5, 2018, a pair of buildings in central Marseille collapsed, taking the lives of eight people hailing from ...",15:00.3
/watch?v=agymHzz2jYQ&pp=ygUSQ2hhcmxvdHRlIHVyYmFuaXNt,/@WCNC,WCNC,'It's 100% essential' | Camp North End analyst advocates for more housing density,305,1 year,"On Flashpoint, Tesho Akindele encourages city leaders to go further with housing diversity and density.",15:00.3
/watch?v=IR7qIRlSqZ8&pp=ygUSQ2hhcmxvdHRlIHVyYmFuaXNt,/@clt_coaa,UNC Charlotte College of Arts + Architecture,2022/23 SoA Lecture Series: Elena Vazquez-Peña,58,2 years,soa.charlotte.edu // The SoA Colloquium Series consists of informal presentations by School of Architecture faculty members ...,15:00.3
/watch?v=XOd6FubTtbM&pp=ygUSQ2hhcmxvdHRlIHVyYmFuaXNt,/@WCNC,WCNC,Charlotte City Council votes 7-4 to approve industrial development to residents' dismay,1.2K,5 years,"It's no secret: Charlotte is still booming and growing. The rapid new development is pushing people out, as well as industrial ...",15:00.3
/watch?v=uJ1ePlln6VE&pp=ygUSQ2hhcmxvdHRlIHVyYmFuaXNt,/@OhTheUrbanity,Oh The Urbanity!,Inside The Mind of Urbanism's Biggest Critic,229K,3 years,"There aren't a lot of prominent critics of urbanism out there. Yes, lots of people argue against bike lanes, public transit, or housing ...",15:00.3
/watch?v=CRiw6O5RRH8&pp=ygUSQ2hhcmxvdHRlIHVyYmFuaXNt,/@clt_coaa,UNC Charlotte College of Arts + Architecture,SoA Colloquium Series: Chris Jarrett + Peter Wong / DesignLab,55,2 years,soa.charlotte.edu // The SoA Colloquium Series consists of informal presentations by School of Architecture faculty members ...,15:00.3
/watch?v=_5Yzj1Bji2E&pp=ygUSQ2hhcmxvdHRlIHVyYmFuaXNt,/@ActiveTowns,Active Towns,CNU.Charlotte Front Porch Bike Tour ~ Part One,712,2 years,"Reinventing the Front Porch Bike Tour from Friday, June 2nd, 2023, at the Congress for the New Urbanism in Charlotte, NC, ...",15:00.3
/shorts/fMHh_ks4gGA,/@aroundmeinusa,Around me in USA,Chilling Drive through Uptown Charlotte North Carolina! #shorts,1.8K,2 years,,15:00.3
